id,month,abg_sku,rip_code,upc,brand,valid_from,valid_to,description,tier1_unit,tier1_qty,tier1_rebate,tier2_unit,tier2_qty,tier2_rebate,comments
62752,2026-04,59920,109010,84848500175,30449,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62753,2026-04,59940,109010,84848500373,30449,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62754,2026-04,59960,109010,84848500977,30449,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62755,2026-04,59970,109010,84848500571,30449,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62756,2026-04,984920,109010,84848611109,76324,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62757,2026-04,984960,109010,84848611901,76324,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62758,2026-04,984970,109010,84848611505,76324,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62759,2026-04,985040,109010,84848611406,76324,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62760,2026-04,52820,109011,84848500144,435982,2026-04-01,2026-04-30,KASSERS VODKA 100,Case(s),2.0,12.0,Case(s),3.0,36.0,ALL SIZES
62761,2026-04,52860,109011,84848500946,435982,2026-04-01,2026-04-30,KASSERS VODKA 100,Case(s),2.0,12.0,Case(s),3.0,36.0,ALL SIZES
62762,2026-04,55840,109012,84848000170,638465,2026-04-01,2026-04-30,"LAIRD'S BARREL FINISHED SERIERS   IRISH WHISKEY 4YR, KENTUCKY BOURBON 5YR",Case(s),1.0,18.0,Case(s),3.0,108.0,750ML
62763,2026-04,55940,109012,84848000184,638466,2026-04-01,2026-04-30,"LAIRD'S BARREL FINISHED SERIERS   IRISH WHISKEY 4YR, KENTUCKY BOURBON 5YR",Case(s),1.0,18.0,Case(s),3.0,108.0,750ML
62764,2026-04,55950,109012,37259013048,,2026-04-01,2026-04-30,"LAIRD'S BARREL FINISHED SERIERS   IRISH WHISKEY 4YR, KENTUCKY BOURBON 5YR",Case(s),1.0,18.0,Case(s),3.0,108.0,750ML
62765,2026-04,15260,109014,84848100900,23117,2026-04-01,2026-04-30,LAIRD'S APPLEJACK   SMALL SIZES INCLUDES 375ML OLD FASHIONED,Case(s),1.0,6.0,,0.0,0.0,375ML & 200ML
62766,2026-04,22160,109014,84848910905,582093,2026-04-01,2026-04-30,LAIRD'S APPLEJACK   SMALL SIZES INCLUDES 375ML OLD FASHIONED,Case(s),1.0,6.0,,0.0,0.0,375ML & 200ML
62767,2026-04,15141,109015,84848112347,499024,2026-04-01,2026-04-30,"LAIRD'S APPLE BRANDY   OLD APPLE, 10TH GENERATION",Case(s),2.0,30.0,,0.0,0.0,750ML
62768,2026-04,15340,109015,84848110305,482932,2026-04-01,2026-04-30,"LAIRD'S APPLE BRANDY   OLD APPLE, 10TH GENERATION",Case(s),2.0,30.0,,0.0,0.0,750ML
62769,2026-04,15220,109016,84848100108,23117,2026-04-01,2026-04-30,LAIRD'S APPLE JACK AND STRAIGHT 86 APPLE,Case(s),1.0,12.0,Case(s),3.0,54.0,"1.75L, LITER, 750ML"
62770,2026-04,15230,109016,84848100207,23117,2026-04-01,2026-04-30,LAIRD'S APPLE JACK AND STRAIGHT 86 APPLE,Case(s),1.0,12.0,Case(s),3.0,54.0,"1.75L, LITER, 750ML"
62771,2026-04,15240,109016,84848100306,23117,2026-04-01,2026-04-30,LAIRD'S APPLE JACK AND STRAIGHT 86 APPLE,Case(s),1.0,12.0,Case(s),3.0,54.0,"1.75L, LITER, 750ML"
62772,2026-04,15248,109016,37259000550,,2026-04-01,2026-04-30,LAIRD'S APPLE JACK AND STRAIGHT 86 APPLE,Case(s),1.0,12.0,Case(s),3.0,54.0,"1.75L, LITER, 750ML"
